sample_id,aspect,text,true_sentiment,pred_sentiment,error_type,frequency
1294,Battery,Nhóm màu: màu xanh ngoại hình máy khá đẹp.Pin thì hơi cùi nha. Giao hàng nhanh,Negative,Positive,Negative -> Positive,40
1211,Battery,"chụp đẹp, thiết kế đẹp máy chính hãng, còn nguyên seal đã được kích hoạt bảo hành 1 tháng chụp ảnh đẹp, nét. Thiết kế đẹp máy khá nóng trong nhiều tác vụ. Thời lượng pin khoảng 6-7h hỗn hợp wifi+4g nhưng nếu chụp ảnh nhiều ngoài trời nắng thì pin hẹo nhanh",Negative,Positive,Negative -> Positive,40
666,Battery,"Màu sắc: bạc ram/bộ nhớ: ram 8g/128g 
chơi game ngon có điều sạc không vô nói chung khá ổn trong tầm giá",Negative,Positive,Negative -> Positive,40
427,Battery,"Mặc dù máy mới ra mắt nhưng với 6Gb Ram, 128Gb Rom và viên pin 5.000mA thì chưa đủ nhu cầu của mình, được cái giá cũng mềm, camera đẹp",Negative,Positive,Negative -> Positive,40
216,Battery,"Mua cửa hàng 3 lần rồi. Từ lzd qua sản phẩm, máy mới keng! Mình cân nhắc mãi mới chọn pixel 5 thay vì 7, do size của bé 5 này quá yêu, rất vừa tay với mình luôn😚. Xài ss, ip bao năm bao đời từ khi chuyển qua pixel xài mấy năm nay là chỉ thích pixel và xiaomi thôi😀. Đáng tiền mà ngon lắm. Sau vài ngày trải nghiệm pixel 5: mình quan tâm nhất là camera - 8/10₫ (hài lòng, lấy nét đẹp, xoá phông mượt, màu sắc khá ổn). Duy mỗi máy hơi bị nóng mỗi khi dùng lâu và sạc. Ngoài ra là OK hết☺️",Negative,Positive,Negative -> Positive,40
66,Battery,Nói chung mua cho người lớn sài cũng ổn. Sạc thấy lâu chứ không như thông số nha.,Negative,Positive,Negative -> Positive,40
1240,Battery,"shipping lâu hơn hứa. giao hàng muộn 2 ngày. vận chuyển chậm. đã trả tiền ship nhanh mà vẫn giao chậm, làm lỡ việc của mình. pin dùng tốt nhưng hiệu năng thỉnh thoảng lag",Positive,Negative,Positive -> Negative,25
1420,Battery,"Điện thoại đẹp, mới tinh,mọi thứ đều ổn. Pin phải xài thời gian mới biết được có tốt hay không. Đã mua lần 2 của cửa hàng 👍",Neutral,Positive,Neutral -> Positive,15
497,Battery,"Mình mua vào đợt sale 6/6 do vậy mà về hàng khá lâu, đến hôm nay là còn hạn 10 ngày để đánh giá sản phẩm, mình định sử dụng thêm 9 ngày nữa nhưng chắc 20 ngày sử dụng vừa rồi là đủ để đánh giá. 1. Về thiết kế, ngoại hình thì đây là điểm ăn tiền nhất của chiếc máy. Thiết kế bắt mắt, mình mua màu trắng nên rất đẹp, lưng kính giả vân đá không bám vân tay. 2. Màn hình có phần viền rất mỏng, sánh ngang với nhiều con flagship giá cao. Chất lượng hiển thị tuyệt vời do tấm nền AMOLED và cũng vì sử dụng tấm nền này nên khá tiết kiệm pin. Màu sắc hiện lên tươi, rõ nét, nói chung là không có điểm nào có thể chê với màn hình con Redmi Note 13 Pro 5G này được👌👌 3. Camera khá ok, màu sắc, độ chi tiết, xử lí xóa phông ngon, quay video có chống rung OIS. Tuy nhiên khi quay video chống rung thì video sau khi xem lại có giật nhẹ. Máy có thể quay ở độ phân giải và FPS cao. Nhìn chung đối với người không sử dụng camera nhiều như mình thì như vậy là quá tuyệt vời.",Positive,Neutral,Positive -> Neutral,11
801,Camera,"Camera bị vết đen. Máy thì tốt màn hình cảm ứng mượt mà, rất nhạy., nên bị trừ chỉ cho cửa hàng được 4 sao thôi",Negative,Positive,Negative -> Positive,40
652,Camera,mỗi tội camera hơi xấu nhưng chs game rất mượt,Negative,Positive,Negative -> Positive,40
536,Camera,"Mình sử dụng được 2 ngày, thấy máy khá ổn chỉ có việc Cam hơi tệ còn lại đều ok",Negative,Positive,Negative -> Positive,40
191,Camera,"Tốt. nên mua. Rất mượt. Các chức năng rất tốt, trừ chụp ảnh",Negative,Positive,Negative -> Positive,40
1068,Camera,"2Tr4 áp voucher sale thấy khá rẻ cho 1 con máy. Camera phơi sáng quay 4k khá đẹp. Chip mạnh nhưng ngồi trước quạt mới chơi được game không thì bỏng tay. Sóng viettel yếu. Wifi so với những con máy chính hãng khác thì khá chập chơn, nhảy như sóng alpha. Nhưng cũng sử dụng được. Pin nhanh hẹo lắm. Nói chung là sử dụng mượt hài lòng với 1 con máy giá rẻ như này. Sẽ để lại đánh giá sau trên kênh youtube: trò chơi thôi sau vài tháng sử dụng nếu bị hẹo.",Positive,Negative,Positive -> Negative,25
860,Camera,"Đang dùng Q5 Pro lên con con này Pin Silicon Carbon 6000 thua Pin 5000 của Q5 Pro 🤣(Pin hơi lỏ, đúng như mấy ông review nói) Màng hình cũng tạm ổn hơi tối + Không Được Nét như Q5 Pro Camera cũng chỉ tạm được Mọi thứ còn lại thì không có gì để chê được. Vì nó là Hàng Chính Hãng. Trước mắt thấy ngon phết đấy anh em ạ ""Đây là nhận xét sau 3 ngày Setup và Sử dụng"" Với lại mình Săn được giá 6M7 nên rất ưng ý, quá là tuyệt vời Cảm ơn cửa hàng!",Positive,Negative,Positive -> Negative,25
809,Camera,"Sau 1 thời gian sử dụng mình đánh giá pin không trâu lắm đâu, tắt mạng, ứng dụng mà từ đêm tới sáng đã giảm khoảng 4-5% pin. Chụp ảnh nói chung cũng ổn, lướt Facebook cứ lag lag kiểu gì. Mình mua trên live được giá rẻ, tặng thêm band, nói chung là 7 điểm",Positive,Negative,Positive -> Negative,25
956,Camera,Ok màu sắc đẹp. Sử dụng lâu dài mới bít ra sao. Cam chụp cũng bình thường. Thấy máy màu hồng cam chụp đẹp hơn. Lần sau sẽ mua màu hồng cam,Neutral,Positive,Neutral -> Positive,15
100,Camera,"Nhóm màu: màu tím than nói chung là tốt chỉ camera sau đã bị mờ máy cũ đã qua sử dụng phải chấp nhận thôi, sẽ tiếp tục ủng hộ lần sau nếu có nhu cầu cảm ơn cửa hàng tặng 5 sao",Neutral,Positive,Neutral -> Positive,15
312,Camera,"Camera selfie chụp tạm ổn, nhưng camera sau chụp đêm cho ảnh chất lượng bình thường.",Positive,Neutral,Positive -> Neutral,11
155,Camera,Chất lượng sản phẩm: camera selfie chụp tạm ổn. Màn hình hiển thị màu sắc bình thường.,Positive,Neutral,Positive -> Neutral,11
1264,Design,"Chất lượng sản phẩm: máy lag kinh khủng, có lúc còn không lên nguồn được, máy không sử dụng được sim, phần góc máy vỡ nhẹ và mình có liên hệ với cửa hàng qua cả zalo lẫn shopee nhưng không hề được phản hồi. Trước khi nhận hàng cửa hàng trả lời cũng nhiệt tình mà ạ. Mình đọc bình luận thấy cửa hàng uy tín nên quyết định tin tưởng vậy mà, mình không có nhiều tiền nên dù máy ít tiền thì mua không sử dụng được vẫn rất phí ạ 🙂 
Đúng với mô tả: 50℅ sản phẩm: hàng lỗi hoặc bị hư hỏng tệ",Negative,Positive,Negative -> Positive,40
1067,Design,máy xài cũng tốt mà pin sạc 3 tiếng không đầy được. thân máy bị hở,Negative,Positive,Negative -> Positive,40
1462,Design,Đúng với mô tả: đúng sử dụng tạm ổn. thỉnh thoảng vẫn bị đơ. máy khá nhẹ. nói chung so với giá tiền thì cũng không còn ý kiến gì,Positive,Negative,Positive -> Negative,25
1389,Design,"Đúng với mô tả: đúng với mô tả 
Chất lượng sản phẩm: khá tốt 
khi mình nhận máy thì thấy máy còn độ nguyên vẹn là 98%, mặc dù có hơi xước một chút ở cạnh nhưng mà không sao. sau một khoảng thời gian sử dụng thì mình vẫn thấy rất ổn áp nhaa cửa hàng 10đ:3",Positive,Negative,Positive -> Negative,25
1311,Design,Hàng đẹp mỗi tội cam xấu vân tay hỏng,Positive,Negative,Positive -> Negative,25
1090,Design,"Phải nói là tuyệt vời anh em ạ, tuy hơi bị luư ảnh nhẹ một chút nhưng mà màn hình mặt lưng không bị xước sát. Phần viền có hơn xước nhưng mà không sao. Máy còn áp còn chuyện chơi game thì khỏi bàn luôn Mỗi tội giao hàng hơi lâu hehe",Positive,Negative,Positive -> Negative,25
871,Design,đặt màu tím nhưng cửa hàng giao nhầm màu đen cho mình. nên mình chỉ để 4 sao.,Positive,Negative,Positive -> Negative,25
820,Design,"Chất lượng sản phẩm: sử dụng được 
Đúng với mô tả: không đúng lắm 
Tính năng nổi bật: bề ngoài tạm ổn hàng nhìn tạm ổn, sử dụng được, tuy nhiên báo là oppo f11 nhưng tra số imei thì là oppo a9. dù sao cũng sử dụng tạm thời thấy ổn",Positive,Negative,Positive -> Negative,25
697,Design,Hình ảnh mang tính chất minh hoạ máy đẹp mới trải nhiệm nên chưa đánh giá chính xác được,Positive,Neutral,Positive -> Neutral,11
273,Design,Máy bị sước nhẹ 2 vết trên màn hình khó phá hiện. Hàng cũ thì chấp nhận. Ảnh video quay bằng điện thoại gg 5 quá đỉnh với giá 4tr kiếm xu. Vì lười chụp,Neutral,Negative,Neutral -> Negative,6
1018,Display,Nhóm màu: màu xanh-mh ám hồng máy ám hơi nhiều...giao hàng nhanh.. có thể chấp nhận với mức giá.. làm máy phụ cũng được..đóng gói cẩn thận.. còn chức năng phải sài rồi đánh giá thêm..trong tương lai có thể ủm hộ cửa hàng thêm vài kái,Negative,Positive,Negative -> Positive,40
49,Display,hàng 95% nên hơi xước cạnh vs ám màn nhẹ nhưng nhìn chung rất đáng tiền chs game ngon nha mọi người,Negative,Positive,Negative -> Positive,40
42,Display,"Màn hình lưu ảnh nhẹ camera ngon đó. Tự tin khẳng định pro thì 5tr quay đầu khó có con nào có camera cân bằng như vầy. Form cầm thì giống iphone 13 thường nhưng mà dài hơn so với 13. Mình cầm thì khá chắc tay còn xperia 5 thì bé quá. Lưu ảnh nhẹ nhưng mà màn còn rất ngon ai có nhu cầu máy phụ thôi hoặc thay vì mua máy nghe nhạc để tiền mua điện thoại thì nên mua bản này liên quân không suport tốt,hiệu năng chơi tốc chiến thì hơi khựng khựng. Thời lượng khoảng 4 tiếng tạm ổn",Negative,Positive,Negative -> Positive,40
801,Display,"Camera bị vết đen. Máy thì tốt màn hình cảm ứng mượt mà, rất nhạy., nên bị trừ chỉ cho cửa hàng được 4 sao thôi",Positive,Negative,Positive -> Negative,25
712,General,"🔋 
Thời lượng pin:khá ổn xem và tải 7h vẫn còn 30%, 📸 
Chất lượng camera: sắc nét đặc biệt camera trước. Mỗi tội loa ngoài không nghe được rè rè kinh luôn hôm kc lại mất công đi sửa, bâo tét kỹ kỹ chút thì chả tét 4,5 sao vậy.",Negative,Positive,Negative -> Positive,40
1306,General,Đúng hàng chính hãng xài bao phê. Cảm giác mới nên còn đơ đơ,Positive,Negative,Positive -> Negative,25
1223,General,tiền nào của ấy thôi mua về sử dụng để check app lm việc thôi nên sử dụng tạm vậy máy hơi load chậm với ấn phím hay bị sai,Positive,Negative,Positive -> Negative,25
1067,General,máy xài cũng tốt mà pin sạc 3 tiếng không đầy được. thân máy bị hở,Positive,Negative,Positive -> Negative,25
147,General,điện thoại mới sử dụng được nhưng không đúng màu mà mình chọn mong cửa hàng sửa lỗi sai này còn mình vẫn cho cửa hàng 5 sao,Positive,Negative,Positive -> Negative,25
1163,General,Nhóm màu: màu xanh bồ đội hàng sài được. Bền chưa biết,Neutral,Positive,Neutral -> Positive,15
768,General,"Đã nhận điện thoại 📱 nhé anh em, tiếc là không săn sale được giá 6.800.000d. Đây là lần đầu tiên dùng điện thoại Honor, hi vọng sẽ bền.",Neutral,Positive,Neutral -> Positive,15
750,General,"Tôi đã đặt mua của cửa hàng 3 chiếc một lúc, nhận hàng đúng chất lượng như quảng cáo...",Neutral,Positive,Neutral -> Positive,15
650,General,Chất lượng sản phẩm: toot redmi note 14 chính hãng ra mắt vào ngày 10/01/2025 tại việt nam sở hữu ai mới nhất kèm chip mediatek helio g99-ultra mạnh mẽ đi cùng camera 108mp.,Neutral,Positive,Neutral -> Positive,15
510,General,"Thấy chơi liên quân hơi chậm xíu á. Còn lại cũng ok, xài 1 time mới biết nè.",Neutral,Positive,Neutral -> Positive,15
63,General,"Điện thoại oke có thể up android 14, sẽ cập nhật thêm tình trạng nếu có, cốc cáp sạc khác loại",Neutral,Positive,Neutral -> Positive,15
1305,General,"Quảng cáo trong hệ thống đúng quá nhiều quảng cáo. Không ngờ một chiếc điện thoại chính hãng mà lại có quảng cáo cài cắm sẵn trong cả hệ thống. Từ trình quản lý file cho đến app dọn rác, cứ mở lên là thấy quảng cáo. Trải nghiệm như sử dụng máy giá rẻ.",Positive,Neutral,Positive -> Neutral,11
1222,General,"sản phẩm tốt, bền hay không thì để mình sử dụng một khoảnh thời gian thì mới buêts được",Positive,Neutral,Positive -> Neutral,11
996,General,"Sản phẩm đúng như mô tả. Sử dụng cũng ưng, để một thời gian xem có bền không.",Positive,Neutral,Positive -> Neutral,11
372,General,"Cửa hàng đóng gói giao hàng hơi chậm xíu vì hàng không sẵn, được cái đóng gói kĩ càng, điện thoại sử dụng tốt, hiện tại chưa thấy có lỗi gì",Positive,Neutral,Positive -> Neutral,11
59,General,Nhóm màu: màu đen đúng sản phẩm đã đặt,Positive,Neutral,Positive -> Neutral,11
1280,General,Vk tưởng ip không. cứ ủa ủa ip mà sao kỳ vậy 🤣🤣,Neutral,Negative,Neutral -> Negative,6
506,General,"Chuyển từ iphone sáng Androi nên bỡ ngỡ chưa sử dụng được nhiều tính năng của máy Samsung, Iphone nhàm chán quá sang đây mất nhiều thời gian để tập sử dụng",Neutral,Negative,Neutral -> Negative,6
31,General,sản phẩm sale của shop hình như không có màu trắng nên ai mua thì lưu ý nhé. cường lực khá bán vân tay đó,Neutral,Negative,Neutral -> Negative,6
1363,Packaging,Chất liệu: đã nhận được hàng rồi chất lượng tốt đóng gói cẩn thận vận chuyển tốt nhân viên giao hàng tận tình tặng 5 sao,Negative,Positive,Negative -> Positive,40
827,Packaging,"máy ổn, cửa hàng gói hàng hơi lâu",Negative,Positive,Negative -> Positive,40
777,Packaging,"Màu sắc: đen 
Phân loại sản phẩm: có sạc đã nhận được hàng nhưng cửa hàng giao sai màu đã đặt nhưng cũng tạm chấp nhận cho cửa hàng 5 sao còn chất lượng sẽ đánh giá sau thời gian sử dụng nếu tốt sẽ ủng hộ cửa hàng lâu dài.",Negative,Positive,Negative -> Positive,40
233,Packaging,"Săn Sale giá hời 6,4tr cấu hình cận cao cấp siêu ngon. Nhà bán hàng đóng gói và vận chuyển hơi lâu",Negative,Positive,Negative -> Positive,40
152,Packaging,"Sau 10 ngày sử dụng điện thoại quá ok sử dụng mượt mà,đội ngũ nhân viên cửa hàng nhiệt tình,quá tốt la.GÓP Ý là cửa hàng sau gói hàng điện thoại nên có hộp thay vì chỉ cuốn mỗi màng bảo vệ chống sốc nhé.Còn lại là 10đ",Negative,Positive,Negative -> Positive,40
203,Packaging,Đúng với mô tả: đúng sản phẩm nguyên seal. Unbox và active máy chạy mượt. Chạy tác vụ bình thường thì rất tốt. Không có nhu cầu các loại app hay game nặng nên không để ý. Tuy nhiên có thể do là dòng giá rẻ nên độ hoàn thiện chưa tốt. Cạnh đáy máy có mấy vết sơn bị nổ. Cạnh viền dưới trái có vết như ảnh. Có hơi thất vọng về sản phẩm.,Positive,Negative,Positive -> Negative,25
1211,Performance,"chụp đẹp, thiết kế đẹp máy chính hãng, còn nguyên seal đã được kích hoạt bảo hành 1 tháng chụp ảnh đẹp, nét. Thiết kế đẹp máy khá nóng trong nhiều tác vụ. Thời lượng pin khoảng 6-7h hỗn hợp wifi+4g nhưng nếu chụp ảnh nhiều ngoài trời nắng thì pin hẹo nhanh",Negative,Positive,Negative -> Positive,40
1088,Performance,"Chất lượng sản phẩm: dùg mới biết. 
Đúng với mô tả: đúng 
Tính năng nổi bật: game quá ổn người khác thấy được tai nghe... mình không có",Negative,Positive,Negative -> Positive,40
937,Performance,"Chất lượng sản phẩm: tốt
Lưới mạng xã hội tốt. còn game độ phân giải thấp thì tốt độ phân giải cao như liên quân thì không được nhé.",Negative,Positive,Negative -> Positive,40
850,Performance,"Đúng với mô tả: tốt 
Chất lượng sản phẩm: đa nhiệm hơi kém bật ram ảo lên đỡ được tí 
Tính năng nổi bật: pin trâu sạc 90w, ip68",Negative,Positive,Negative -> Positive,40
822,Performance,"Mới dùng, cầm nắm thích, máy đẹp hơn mình nghĩ nhưng mà thỉnh thoảng có lag nhẹ nhé, hy vọng sẽ ổn định hơn",Negative,Positive,Negative -> Positive,40
794,Performance,"Bị trễ thông báo zl 2-20p Có lag khi lướt sọpe quá lâu Chơi roblox ổn, không nóng máy Emoji cute Cam màu lạ giống máy digital, khá ưng, cam locket 0 bị mờ, Video 0 chống rung, hơi mờ, không CÓ CAM GÓC RỘNG:( Loa ok, nhưng chặn lại thì không nghe rõ không có app album riêng, fải tải bên thứ 3 Mua vì dung lượng cao Khả dụng 215gb sau khi tải các app hay dùng Giá rẻ nên vẫn ưng Hy vọng xài được hơn 5 năm. Ảnh, vid từ máy.",Negative,Positive,Negative -> Positive,40
42,Performance,"Màn hình lưu ảnh nhẹ camera ngon đó. Tự tin khẳng định pro thì 5tr quay đầu khó có con nào có camera cân bằng như vầy. Form cầm thì giống iphone 13 thường nhưng mà dài hơn so với 13. Mình cầm thì khá chắc tay còn xperia 5 thì bé quá. Lưu ảnh nhẹ nhưng mà màn còn rất ngon ai có nhu cầu máy phụ thôi hoặc thay vì mua máy nghe nhạc để tiền mua điện thoại thì nên mua bản này liên quân không suport tốt,hiệu năng chơi tốc chiến thì hơi khựng khựng. Thời lượng khoảng 4 tiếng tạm ổn",Negative,Positive,Negative -> Positive,40
713,Performance,dù 45mA nhưng tụt pin rất nhanh. Hiệu suất mạnh mướt,Positive,Negative,Positive -> Negative,25
581,Performance,"pin chỉ còn 90% sau 3 tháng. tuổi thọ pin quá thấp. pin kém. pin chai nhanh quá mức, phải sạc liên tục. hiệu năng vẫn ổn",Positive,Negative,Positive -> Negative,25
360,Performance,"
Thời lượng pin:hơi kém do chai pin 📸⚡ 
Hiệu suất: ổn định máy hơi nóng hiệu suất sử dụng bình thường mọi áp đều sử dụng được hết không bị văng, máy không có vân tay. Chất lượng camera tốt tốt",Positive,Negative,Positive -> Negative,25
203,Performance,Đúng với mô tả: đúng sản phẩm nguyên seal. Unbox và active máy chạy mượt. Chạy tác vụ bình thường thì rất tốt. Không có nhu cầu các loại app hay game nặng nên không để ý. Tuy nhiên có thể do là dòng giá rẻ nên độ hoàn thiện chưa tốt. Cạnh đáy máy có mấy vết sơn bị nổ. Cạnh viền dưới trái có vết như ảnh. Có hơi thất vọng về sản phẩm.,Positive,Negative,Positive -> Negative,25
944,Performance,"Chất lượng sản phẩm: toots 
Tính năng nổi bật: chơi game ổn chơi game gì cũng được không chơi được roblox",Neutral,Positive,Neutral -> Positive,15
1314,Performance,check ra là helio p35 không phải là snapdragon 460,Neutral,Negative,Neutral -> Negative,6
223,Performance,"Hiệu năng chỉ ở mức trung bình, không đáng tiền. Ảnh chụp bị out nét liên tục. Chăm sóc khách hàng hứa hẹn gọi lại nhưng không bao giờ gọi.",Neutral,Negative,Neutral -> Negative,6
578,Performance,Lướt mạng xã hội tốt. Còn game độ phân giải thấp thì tốt độ phân giải cao như liên quân thì không được nhé,Negative,Neutral,Negative -> Neutral,3
1397,Price,Hàng nguyên seal. Mới khui dùng thấy ok. Ngon. không mua được giá sale. Tiếc:((,Negative,Positive,Negative -> Positive,40
470,Price,"Tính năng nổi bật: tốt 
Đúng với mô tả: bộ nhớ màu sắc đúng, vỏ cũ 89% 
Chất lượng sản phẩm: 95% máy tạm ổn, săn được mã -200k",Negative,Positive,Negative -> Positive,40
1439,Price,"Tính năng nổi bật: bị tráo sạc,chip với ram rom ảo 
Chất lượng sản phẩm: chỉ có vỏ là mới. còn bên trog nát lắm 
Đúng với mô tả: không hề. cửa hàng thay đổi linh kiện rồi chia sẻ cho anh em nào mua sau thì nên mua cửa hàng mall nhé. cửa hàng bán máy dựng thay đổi thông tin ram rom ảo đánh lừa. quảng cáo sạc nhanh nhưng nhận sạc thường và siêu chậm. không có cam góc rộng lỗi vặt siêu nhiều khuyên thật anh em đừng ham rẻ.",Positive,Negative,Positive -> Negative,25
1036,Price,"Săn sale được giá 6tr8 tặng full combo tai nghe, đồng hồ. Thỉnh thoảng vào check canh sale giá trên 7cu3 đừng mua nhé anh em. T mua về 6tr8 bán lại được 7tr5 lời 700k + combo tai nghe, đồng hồ. Kkk",Positive,Negative,Positive -> Negative,25
890,Price,"Chất lượng sản phẩm: tệ
Dịch vụ trả lời thắc mắc của khách hàng quá tệ, hỏi 1 đằng trả lời 1 nẻo. Máy vừa mua sử dụng chưa được 1 ngày mà đứng đơ màn hình, phải chờ 1 lát khởi động lại máy. Hỏi cửa hàng thì cửa hàng kêu mang máy lên trạm đổi, ối zồi ôi luôn. Tác vụ thì không nhạy lắm đâu, cửa sổ thu nhỏ thì không có là chắc rồi, vì rẻ mà. Ứng dụng dép lào hay phây bóc cũng không mở được bong bóng chat đâu. Nói chung ai cần những cái cơ bản đo thì nghĩ kĩ rồi mua, chứ mình lỡ rồi thì chịu.",Positive,Negative,Positive -> Negative,25
1026,Price,"Tính năng nổi bật: máy đóng góp kĩ sản phẩm đúng mô tả nha mọi người. cửa hàng rất nhiệt tình, uy tính ạ. mình mua được 17xx.",Neutral,Positive,Neutral -> Positive,15
563,Price,"điện thoại mới sử dụng mà lag lắm, lâu lâu đang làm tự dưng đứng máy xong chờ hơn chục phút nó tự tắt đi bật lại, lưu trữ ảnh cũng không được bao nhiêu. Nói tóm lại tạm với tầm giá thôi. (hình ảnh chỉ mang tính chất nhận xu)",Positive,Neutral,Positive -> Neutral,11
1198,Price,"Nhóm màu: vàng 
Dung lượng lưu trữ: 6gb+128gb mới mua, chờ thời gian mới biết, thấy quảng cáo trên video tưởng là được tặng củ sạc, tuy nhiên, khi mua với giá 4639k thì không được tặng gì, với giá này, mọi người có thể cân nhắc a16 5g, giá 4939k nhưng được tặng của sạc và tại nghe nhé!",Negative,Neutral,Negative -> Neutral,3
639,Shipping,"Đúng với mô tả: đúng 
Tính năng nổi bật: máy mạnh 
Chất lượng sản phẩm: tốt
Không biết nói gì vì nò là s25 ultra mà. Ngoại trừ quả giao hàng muộn ra còn lại siêu đỉnh.",Negative,Positive,Negative -> Positive,40
622,Shipping,"Đúng với mô tả: đúng 
Chất lượng sản phẩm: tốt
Có một chút về vấn đề ship nhưng máy tốt mọi người nên mua",Negative,Positive,Negative -> Positive,40
193,Shipping,"Chất lượng sản phẩm khá tốt. Hàng sau khi nhận hài lòng. Về giá cả so sánh thì thấy rẻ hơn các cửa hàng khác. Thời gian tư khi đặt hàng đến khi nhận hàng tuy đặt hỏa tốc nhưng mất 3 ngày, sản phẩm được cửa hàng chuẩn bị đóng gói khá cẩn thận. Sẽ tiếp tục ủng hộ mua hàng của cửa hàng.",Negative,Positive,Negative -> Positive,40
24,Shipping,"Màu sắc: xanh ngọc 
Dung lượng lưu trữ: 128gb cửa hàng bọc chống sốc 2 lần cẩn thận lắm. đi kèm điện thoại là 1 bộ sạc nhanh 25w + 1 bộ được tặng nữa là 2. à có phiếu bảo hành nữa.",Negative,Positive,Negative -> Positive,40
1017,Shipping,"Hình ảnh và video mang tính chất minh hoạ điện thoại đẹp, đầy đủ các thứ phụ kiện đi kèm Giao cũng hơi nhanh….",Positive,Negative,Positive -> Negative,25
443,Shipping,"Tình trạng: 83% 
Nhóm màu: vàng goi hàng bao bì đẹp,giao hàng thân thiết, máy giống mô tả nhưng thiếu cục sạc,cửa hàng gửi thêm giúp mình nha",Positive,Negative,Positive -> Negative,25
692,Shipping,"ship ""chậm""",Negative,Neutral,Negative -> Neutral,3
1470,Shop_Service,"Trải nghiệm vài ngày thì thấy máy ngon mượt mạnh. Tầm giá này chắc No.1 rồi. cửa hàng bán hàng chất lượng, nhưng mình góp ý cửa hàng nên trả lời những thắc mắc của khách sớm hơn. Mình nhắn mà cửa hàng lâu trả lời quá.",Negative,Positive,Negative -> Positive,40
1264,Shop_Service,"Chất lượng sản phẩm: máy lag kinh khủng, có lúc còn không lên nguồn được, máy không sử dụng được sim, phần góc máy vỡ nhẹ và mình có liên hệ với cửa hàng qua cả zalo lẫn shopee nhưng không hề được phản hồi. Trước khi nhận hàng cửa hàng trả lời cũng nhiệt tình mà ạ. Mình đọc bình luận thấy cửa hàng uy tín nên quyết định tin tưởng vậy mà, mình không có nhiều tiền nên dù máy ít tiền thì mua không sử dụng được vẫn rất phí ạ 🙂 
Đúng với mô tả: 50℅ sản phẩm: hàng lỗi hoặc bị hư hỏng tệ",Negative,Positive,Negative -> Positive,40
1092,Shop_Service,"Đúng với mô tả: tốt 

Tính năng nổi bật: tốt
3 ngày mới nhận được hàng nha nôn quá trời, ngày 11/9 mới nhận hàng mà kích hoạt hạn bảo hành trước 1ngày ah nhận hàng ưng đóng gói cẩn thận sử dụng máy rất thích",Negative,Positive,Negative -> Positive,40
764,Shop_Service,"Máy ổn giao hàng nhanh, nên dán cho khách hàng luôn chứ tặng miếng dán kèm điện thoại khách hàng không biết dán gây xấu đến máy",Negative,Positive,Negative -> Positive,40
724,Shop_Service,"Đúng với mô tả: hàng đúng mô tả 
Chất lượng sản phẩm: sản phẩm còn nguyên seal, nhưng trôi bảo hành 2 tháng. máy khá ổn trong tầm giá.",Negative,Positive,Negative -> Positive,40
146,Shop_Service,Sản phẩm ok nếu đánh giá thiết thực là giao hàng hơi lâu với khi nhận được hàng thiếu phiếu bao hành của cửa hàng 😢😢😢,Negative,Positive,Negative -> Positive,40
1351,Shop_Service,"Sản phẩm ok, đóng gói chắc chắn tới tay ng dùng, cửa hàng kêu sản phẩm đã kích hoạt bảo hành không biết lúc có vấn đề sẽ xử lý như thế nào thôi",Neutral,Positive,Neutral -> Positive,15
1062,Shop_Service,"Đúng với mô tả: hmmmm 

Lúc order thì hết màu tím, nên đành phải chọn màu đen. Ngủ dậy sáng hôm sau thì đã có hàng mới màu tím, nhắn tin hỏi cửa hàng có đổi không thì được báo là sẽ note cho bên kho để họ đổi lại đơn. Mà khi nhận vẫn là màu đen, cũng không có confirm trước đó là đổi thành công hay như nào. Tai nghe được tặng thì cũng không có gì đánh giá, có cũng được mà không có cũng chả sao, vì không kì vọng gì nhiều hàng tặng kèm. Còn lại điện thoại cũng tốt, mượt và giá rẻ. Phải tốn 1 chút thao tác để loại bỏ quảng cáo trên điện thoại tàu.",Neutral,Positive,Neutral -> Positive,15
443,Shop_Service,"Tình trạng: 83% 
Nhóm màu: vàng goi hàng bao bì đẹp,giao hàng thân thiết, máy giống mô tả nhưng thiếu cục sạc,cửa hàng gửi thêm giúp mình nha",Neutral,Positive,Neutral -> Positive,15
75,Shop_Service,bước đầu sử dụng tốt. không biết có bền không nhưng ban đầu sử dụng là tốt. mua cho người lớn tuổi sử dụng.. thấy ghi bảo hành 12 tháng,Neutral,Positive,Neutral -> Positive,15
159,Shop_Service,"sản phẩm kích hoạt bảo hành đầu tháng 6, tặng cửa hàng 5 stars",Positive,Neutral,Positive -> Neutral,11
